id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12405384,Apartment for 3 ppl in City Center,1621474,Eazybnb Team,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99129725909436,23.728848078750666,Entire home/apt,32,3,10,2017-04-13,1.08,58,163
15292326,Cosy Room & Private Bathroom | Centre of Athens,97355605,Vanessa,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98798261023406,23.728755158832637,Private room,17,1,41,2017-05-01,5.83,1,43
7244948,Lovely apartment with great views,37900076,Angelos,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98965932628395,23.724860454546455,Entire home/apt,49,1,16,2017-04-29,0.76,1,291
4066437,St.Pauls square-Heart of Athens,21088834,Spiros,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98882983278117,23.722913326842882,Entire home/apt,48,2,115,2017-05-02,3.64,2,307
10833349,New listing! Acropolis View 3,792396,John,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98325754846279,23.717278812519627,Entire home/apt,89,1,0,,,3,365
11857429,"Acropolis view, small penthhouse, in Athens center",63201250,Myrsini,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.990723032555586,23.72195801560485,Entire home/apt,39,2,5,2017-05-01,0.72,1,133
18517549,"1AA42 Stunning Acropolis View Penthouse, Athens",65714690,HomeRentality,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98324369482121,23.717674831016385,Entire home/apt,30,3,0,,,19,356
17495305,►►Did You Know that Metro Station is 1 min Away ?.,118550391,Panos,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98581709337978,23.720050525912107,Entire home/apt,40,1,21,2017-05-01,9.84,1,252
7130892,"Lux Art Deco Apartment, City Center",36077646,Alex,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.990424947790615,23.72881266555918,Entire home/apt,55,1,15,2017-04-18,0.72,1,304
2133917,Downtown Private Jacuzzi with Acropolis View,10888595,Haris,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98587024068004,23.718432022404933,Entire home/apt,150,1,74,2017-05-04,1.81,1,130
10833861,New listing! Acropolis View 1,792396,John,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98289132561304,23.71771031950749,Entire home/apt,115,1,0,,,3,365
11604027,5 bedroom apt in central Athens,17322829,George,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98647438180209,23.722214815524577,Entire home/apt,71,1,25,2017-05-08,2.08,1,336
53321,WARM & SWEET Studio/Hist.center/5'metro/free WIFI,248282,Isabelle,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98714821349962,23.724229216034082,Entire home/apt,25,3,80,2017-04-29,1.83,1,164
6475877,"Sunny & Spacious, 4' Metro 3'Museum",33830010,Vivian,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99049998865533,23.72926899863356,Entire home/apt,31,1,42,2016-10-02,1.78,3,343
13684077,Cozy studio in Metaxourgeio,79687240,Elena,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98176146320398,23.72105158150229,Entire home/apt,41,2,93,2017-05-06,8.86,1,196
7590118,Green&romantic aprtmnt city center,1621474,Eazybnb Team,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98172608138612,23.722563226731758,Entire home/apt,40,2,40,2017-04-20,1.88,58,313
11735275,Central next to many hotels,39255266,Paul,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98691458115454,23.726166827522974,Entire home/apt,26,3,38,2017-05-06,2.95,1,349
5787839,Deluxe 100sq. AcropolisView 3,13656447,Konstantinos,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.982035650616126,23.719547539082644,Entire home/apt,85,2,131,2016-12-25,5.15,7,322
